curve_a3,curve_a2,curve_a1,curve_a0,vix_level,vix3m_level,vix_spread,vix_change_20d,iv_level,rv_level,iv_rv_spread,spy_ret_20d,sector_rs,sector_ret_5d,symbol,entry_date,net_pnl,trade_return,exit_type,direction,split,label,lr_prob,lr_approve
-0.000380061102983703,0.017630749634266644,-0.20635055149185155,5.295491654475553,18.71,19.25,0.5399999999999991,5.65,18.71,10.984114666739957,7.7258853332600435,-0.05178092684795099,-0.04101171328930042,-0.06270080810047707,AVGO,2024-04-22,-800.6344357334951,-0.08076211033075735,stop_loss,short,train,0,0.11904145586197899,0
-0.0007767525601333568,0.0350778652060011,-0.3860362800666797,5.309328840200044,13.11,14.93,1.8200000000000003,-0.7400000000000002,13.11,12.052095191111412,1.057904808888587,0.04834423548650868,0.12127665568268053,0.02669524551831648,AMD,2024-03-04,-809.341064973951,-0.08214489064181749,stop_loss,long,train,0,0.4510586968142223,0
-0.0007181818800394598,0.03257818460177571,-0.3611909400197304,5.306272820059194,13.24,15.29,2.049999999999999,-0.5099999999999998,13.24,11.54871955257787,1.6912804474221304,0.023435188290296338,-0.0027974787867530715,0.021230658510255518,OKLO,2024-03-27,484.4013873457985,0.0484207728464799,profit_target,long,train,1,0.6049283834987648,1
-0.0006637957790403572,0.030338810056816098,-0.34391788952017927,5.307093668560536,12.84,14.86,2.0199999999999996,0.4800000000000004,12.84,8.08844723838351,4.751552761616489,0.029068449682683628,0.30761820804616136,-0.017029972752043543,SMR,2024-06-26,4305.653984956335,0.43038637583951206,profit_target,long,train,1,0.6157024017786612,1
-0.0008479100919720046,0.037829954138740234,-0.3996650459860032,5.290565137958016,13.12,14.87,1.75,0.4599999999999991,13.12,7.25486383488018,5.865136165119819,0.03517374873260204,0.14533960580531702,-0.0011088365745478557,RGTI,2024-07-16,-1890.4031906557998,-0.18895397116326879,stop_loss,long,train,0,0.3900172850756948,0
-0.0008716726658274579,0.03905926996223563,-0.41854633291372995,5.297208998741188,14.48,15.79,1.3099999999999987,1.7300000000000004,14.48,8.507353499883445,5.972646500116555,0.017985743008590793,-0.08012294794689556,0.02884089666484413,NVO,2024-07-18,966.6683501068669,0.09685505130106892,profit_target,short,train,1,0.582346170385032,1
-0.0006752604588393996,0.030758720647773026,-0.3456102294197009,5.309490688259104,13.28,15.41,2.130000000000001,1.42,13.28,7.821032876626361,5.458967123373639,0.029433905450165554,0.04019280682239523,-0.005710048201705509,RKLB,2024-06-21,2017.9783179469514,0.20169718500022862,profit_target,long,train,1,0.8564376148796505,1
-0.00020785429637441887,0.007097443336848851,0.018312851812790496,3.589981444561629,18.64,20.62,1.9800000000000004,3.74,18.64,9.646524986662572,8.993475013337429,-0.0081236177563202,-0.0011423281612064073,-0.07444883736514096,AVGO,2026-02-05,-927.9429334825527,-0.09526550664576243,stop_loss,short,oos,0,9.958982796659919e-70,0
-0.00014860889781013266,0.004681400401455983,0.03638555109493328,3.5476133467152007,18.84,18.99,0.14999999999999858,3.9299999999999997,18.84,7.898031700697615,10.941968299302385,0.03017575215966639,0.08585452793222337,-0.0036264112213479915,SMCI,2026-01-20,-490.8943153600005,-0.04915928491349072,timeout,long,oos,0,9.146873080595658e-72,0
-0.00034304566846981346,0.013321055081141623,-0.05438283423490726,3.6027685027047234,21.44,22.44,1.0,4.0,21.44,12.905470558950704,8.534529441049298,-0.008078384901079594,0.012082630637121339,0.038630523087126,RTX,2026-03-03,-485.516243081718,-0.04952549750456487,stop_loss,long,oos,0,7.178043777794305e-70,0
